Latitude,Longitude,City,Metropolitan Statistical Area,Average Daily Rate (USD),Annual Revenue LTM (USD),Airbnb Superhost,Occupancy Rate LTM,Airbnb Host ID,Property ID,Property Type
18.45254187295641,-66.06222509189018,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8350720,Bed &amp; Breakfast
18.45129595598768,-66.05430848209899,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8351014,Apartment
18.45328821665122,-66.06287380660754,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8351102,Private room in bed & breakfast
18.45468485479115,-66.06476790283497,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,44022790,ab-8352235,Apartment
18.34170798690385,-65.66108569169856,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,44022790,ab-8352520,Apartment
17.99636414967234,-67.05340898256175,Lajas,"San Germán, PR Metro Area",NA,0,FALSE,NA,44029779,ab-8353583,Entire apartment
18.41835102974227,-66.06359321794827,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,4233900,ab-8354965,Apartment
18.45207019450495,-66.06299638343711,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8355315,Private room in bed & breakfast
18.45342739985637,-66.06126764727419,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8355388,Private room in bed & breakfast
18.47145921865796,-66.27243240268994,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,27918967,ab-8355428,House
18.45202243178641,-66.06268881525148,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8355471,Private room in bed & breakfast
18.45321712386771,-66.06291032662068,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2690582,ab-8355516,Entire bed & breakfast
18.15479,-65.42588,Vieques,NA,221.32,27665,TRUE,0.383,6346784,ab-8360517,House
18.3247737080216,-65.65335069882774,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,15975562,ab-8362294,Apartment
18.45382161750277,-66.06650999032186,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,44079267,ab-8363127,Entire apartment
18.29858,-67.23078,Rincon,"Aguadilla-Isabela, PR Metro Area",269.49,10510,FALSE,0.222,44090789,ab-8365482,Condominium
18.45678,-66.06336,NA,"San Juan-Carolina-Caguas, PR Metro Area",122.95,9221,TRUE,0.399,44110390,ab-8369371,Apartment
18.466,-66.117,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",111.13,12224,FALSE,0.391,44119476,ab-8370936,Apartment
18.422,-66.053,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",44.12,2250,FALSE,0.234,30931129,ab-8373497,Apartment
18.36766,-67.25123,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,40516085,ab-8378189,House
18.38018,-65.7189,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",99.94,22286,TRUE,0.811,43953336,ab-8386001,Condominium
18.361,-66.068,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",295.94,18052,FALSE,0.235,6079022,ab-8387775,House
18.45024,-66.0433,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",75,225,FALSE,0.097,44208737,ab-8390146,Apartment
18.45618,-66.07031,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",140.98,26645,FALSE,0.531,43193677,ab-8390306,Condominium
18.38963799689144,-67.20173702495302,Aguada,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,24067126,ab-8390331,Apartment
18.09015,-65.79316,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,44110073,ab-8391454,Apartment
18.401,-66.052,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",50.48,4240,FALSE,0.317,30931129,ab-8392372,Apartment
18.3459867752197,-67.25635632288558,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,TRUE,NA,44270476,ab-8403398,Townhouse
18.38529992230322,-65.76828997124528,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,12624438,ab-8406574,Apartment
18.34393385962941,-65.636173196459,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,12482612,ab-8408377,Apartment
18.30261741807561,-65.3041865909748,Culebra,NA,NA,0,FALSE,NA,42143148,ab-8421615,Villa
18.443,-66.029,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",270.05,22414,FALSE,0.248,24867368,ab-8424115,House
18.34259,-65.63426,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",91.8,19921,TRUE,0.759,29217735,ab-8424822,Apartment
18.38721609602199,-65.76564813881406,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,28815138,ab-8425192,Apartment
18.36777,-67.25073,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,40516085,ab-8427666,House
18.34486,-67.25779,Rincon,"Aguadilla-Isabela, PR Metro Area",374.66,87295,TRUE,0.7,38130114,ab-8430241,House
18.01104,-66.61588,Ponce,"Ponce, PR Metro Area",122.33,16636,FALSE,0.383,43816476,ab-8434260,Apartment
18.44244,-66.0251,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",157.07,21362,FALSE,0.627,44419881,ab-8436238,Condominium
18.01169,-66.6151,Ponce,"Ponce, PR Metro Area",360,15120,FALSE,0.185,44268844,ab-8436520,House
18.36146,-66.15832,Bayamon,"San Juan-Carolina-Caguas, PR Metro Area",40,80,FALSE,0.286,20939224,ab-8438047,House
18.37851806880997,-65.7198859762935,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,36079748,ab-8438583,Apartment
18.445,-66.071,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",54.36,7937,FALSE,0.493,3557,ab-8442786,Guest suite
18.45998394730482,-66.08220676234963,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,44506160,ab-8455139,Apartment
18.37737975081048,-67.22784050490783,Aguada,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,14633110,ab-8457011,Entire apartment
18.08991,-65.79735,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",118.75,13656,TRUE,0.362,6922733,ab-8457408,Apartment
18.45063262942822,-66.0446910751874,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,35097735,ab-8461549,Apartment
18.35931606808466,-67.2609155330571,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,4177,ab-8467803,Private room in apartment
18.04116353563996,-67.17251638645772,Boqueron,"San Germán, PR Metro Area",NA,0,FALSE,NA,11822559,ab-8472508,House
18.422,-66.053,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",72.51,3843,FALSE,0.315,30931129,ab-8479760,Apartment
18.422,-66.053,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",50,50,FALSE,1,30931129,ab-8480280,Apartment
18.44289599602746,-66.0656828261386,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,55454,ab-8484681,Apartment
18.48813588326621,-66.41460581706677,Vega Baja,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,44699978,ab-8487324,Apartment
18.37649915675053,-65.84029405730206,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,21574858,ab-8487327,Other
18.3699,-67.26019,Rincon,"Aguadilla-Isabela, PR Metro Area",192.31,20192,TRUE,0.317,43589111,ab-8488226,Apartment
18.36141606277073,-65.71340195605542,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",521.43,3650,FALSE,0.226,21284178,ab-8489310,House
18.35949,-67.26028,Rincon,"Aguadilla-Isabela, PR Metro Area",44.44,2755,FALSE,0.268,4177,ab-8495161,Apartment
18.47200458218249,-66.27554384664973,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,44760026,ab-8500286,House
17.98196716642753,-66.01977678683663,NA,"Guayama, PR Metro Area",NA,0,FALSE,NA,44795251,ab-8506888,Apartment
18.44395641332888,-66.06576246730012,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,55454,ab-8513135,NA
18.41082244079702,-66.14047322999073,Guaynabo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,5291968,ab-8514573,Apartment
18.38128,-65.72319,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",128,5120,TRUE,0.197,22715996,ab-8519204,Apartment
18.45636,-66.0707,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",116.24,17320,TRUE,0.558,44867569,ab-8521070,Condominium
18.14476692319032,-65.43251172573665,Vieques,NA,NA,0,FALSE,NA,44595388,ab-8521157,Apartment
18.408,-66.051,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",50.76,6142,FALSE,0.42,44869900,ab-8521973,Apartment
18.38890451568054,-67.20344841343828,Aguada,"Aguadilla-Isabela, PR Metro Area",NA,0,NA,NA,29863821,ab-8522523,Bed &amp; Breakfast
18.39076260346032,-67.20410328514986,Aguada,"Aguadilla-Isabela, PR Metro Area",NA,0,NA,NA,29863821,ab-8522531,Apartment
18.38685180253012,-67.20512537371118,Aguada,"Aguadilla-Isabela, PR Metro Area",NA,0,NA,NA,29863821,ab-8522673,Dorm
18.451,-66.057,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",49.64,11269,FALSE,0.87,19736773,ab-8523129,Condominium
18.35492,-66.16138,Bayamon,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,20939224,ab-8523504,House
18.36352,-65.71098,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",68.33,5056,TRUE,0.354,44879496,ab-8523671,Apartment
18.46572539832035,-66.1171200668869,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2406237,ab-8533091,Apartment
18.10083226406377,-65.47643289060798,Vieques,NA,NA,0,FALSE,NA,10466758,ab-8536903,House
18.29779,-67.22713,Rincon,"Aguadilla-Isabela, PR Metro Area",106.57,10018,TRUE,0.376,45024709,ab-8553588,House
18.09941027198554,-65.4967835901253,Vieques,NA,NA,0,FALSE,NA,20855794,ab-8555515,Apartment
17.934,-66.955,Ensenada,"Ponce, PR Metro Area",56.28,4953,TRUE,0.378,30006376,ab-8561463,Guest suite
18.496,-67.036,Isabela,"Aguadilla-Isabela, PR Metro Area",124.48,9212,TRUE,0.237,45068787,ab-8563432,House
18.44679222336733,-66.06772007664568,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45077825,ab-8565457,Apartment
18.44295,-66.06511,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",92.25,19926,TRUE,0.633,25817507,ab-8574532,Apartment
18.47096,-66.10764,NA,"San Juan-Carolina-Caguas, PR Metro Area",85.86,17859,FALSE,0.77,12416759,ab-8588616,Apartment
18.45072294191303,-66.06101351950244,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2371532,ab-8589202,Apartment
18.43895,-66.02138,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",100.34,19667,TRUE,0.71,44466281,ab-8592987,Apartment
18.309,-65.306,Culebra,NA,112.74,9019,TRUE,0.488,3453785,ab-8605110,Apartment
18.39999190807394,-66.05370983400077,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,30124015,ab-8608001,Apartment
17.9351946802484,-66.95453713376176,Ensenada,"Ponce, PR Metro Area",NA,0,TRUE,NA,30006376,ab-8608889,Villa
18.45444490504419,-65.98590305743153,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45315039,ab-8614214,Apartment
18.45036,-66.0808,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",106.91,1176,FALSE,0.22,45320975,ab-8615255,Apartment
18.41130995457359,-65.99586949250572,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,36184,ab-8615721,Apartment
18.45717864544352,-66.06408329046238,NA,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,4273243,ab-8616586,Apartment
18.45339912771977,-66.08854840685683,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,4191680,ab-8622102,Apartment
18.50718035374502,-67.02170872865324,Isabela,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,35168420,ab-8622478,Condominium
18.46587298843273,-66.1155191273776,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45378593,ab-8627800,Private room
18.3393607754335,-67.25039224978944,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,45378644,ab-8628175,Apartment
18.41497326348872,-66.05731618332067,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,4725500,ab-8629527,Apartment
18.49548,-67.14768,Aguadilla,"Aguadilla-Isabela, PR Metro Area",156.36,1720,FALSE,0.053,33302678,ab-8631560,House
18.43274230494588,-66.06639307555479,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45403728,ab-8635082,Apartment
18.46643,-66.11672,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",65,5655,FALSE,0.407,22264912,ab-8644255,Private room
18.45361866693605,-67.15984259318915,Aguadilla,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,9992616,ab-8646327,Apartment
18.47057,-66.31726,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,9603117,ab-8647043,House
18.34446,-67.25792,Rincon,"Aguadilla-Isabela, PR Metro Area",146.68,32122,TRUE,0.687,44270476,ab-8649589,Townhouse
18.38711,-65.76524,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",250,6250,FALSE,0.373,45475911,ab-8652889,Villa
18.39727469122267,-66.04982582889181,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45479312,ab-8653802,Bed and breakfast
18.45528,-66.06804,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,15320358,ab-8655595,Apartment
18.03895262703409,-67.18227804225029,Cabo Rojo,"San Germán, PR Metro Area",NA,0,FALSE,NA,33968854,ab-8661080,House
18.47328,-66.3116,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",1003.08,13040,TRUE,0.197,9603117,ab-8665557,House
18.46681723620114,-66.11527996357142,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,20537299,ab-8665826,Apartment
17.97185725762951,-65.96063000341096,Patillas,"Guayama, PR Metro Area",NA,0,FALSE,NA,45323737,ab-8667166,Private room in apartment
18.47366,-66.31241,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",571.6,11432,TRUE,0.163,9603117,ab-8667400,Villa
18.48018,-66.34116,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",332.14,2325,TRUE,0.226,9603117,ab-8667531,Villa
17.97323722692014,-65.96097078548365,Patillas,"Guayama, PR Metro Area",NA,0,FALSE,NA,45323737,ab-8667622,Apartment
18.46864,-66.29616,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",725.35,62380,TRUE,0.332,9603117,ab-8667910,House
18.47681,-66.32322,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",357.26,37155,TRUE,0.486,9603117,ab-8668026,Villa
18.47444,-66.32444,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,9603117,ab-8668227,Townhouse
18.47561576236907,-66.32017972734258,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,20567773,ab-8668560,Apartment
18.37641127182714,-65.9600147741661,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45545605,ab-8670305,Apartment
18.47841,-66.32561,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",325,325,FALSE,0.033,33126707,ab-8671111,Villa
18.46703410138909,-66.11738660974757,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2406237,ab-8673427,Entire apartment
18.4663758892077,-66.11544637611755,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,494331,ab-8673626,Apartment
18.44860453684942,-66.06572363250139,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,639794,ab-8683450,Apartment
18.44435174240866,-66.02365606692894,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45617392,ab-8688044,Apartment
18.44259,-66.024,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",198.55,20848,FALSE,0.525,45617392,ab-8688187,Apartment
18.31192,-65.83921,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",94.72,13356,TRUE,0.488,45620679,ab-8688774,Nature lodge
18.4739783302573,-66.31687036927232,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2210419,ab-8695628,House
18.33994177822062,-65.63795548825391,Fajardo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,1134155,ab-8702743,Apartment
18.45448,-67.15811,Aguadilla,"Aguadilla-Isabela, PR Metro Area",171.33,18675,FALSE,0.375,45689178,ab-8703502,Condominium
18.00962901410416,-66.61248416724725,Ponce,"Ponce, PR Metro Area",NA,0,NA,NA,45707371,ab-8707244,Apartment
18.30461966164026,-65.30268813780427,Culebra,NA,NA,0,FALSE,NA,12910597,ab-8710831,Apartment
18.14906080176928,-65.44231848838429,Vieques,NA,NA,0,FALSE,NA,11902661,ab-8711399,House
18.18069191332194,-66.95929447225663,Maricao,NA,NA,0,FALSE,NA,31332625,ab-8713252,Farm stay
18.18059024367448,-66.95866316342197,Maricao,NA,NA,0,FALSE,NA,31332625,ab-8714222,Bed and breakfast
18.18041154690277,-66.95967940175684,Maricao,NA,NA,0,FALSE,NA,31332625,ab-8714486,Bed and breakfast
18.14758,-65.44096,Vieques,NA,79.1,8148,TRUE,0.38,11128964,ab-8718844,Townhouse
18.38812,-65.76269,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,494331,ab-8719140,Apartment
18.25936,-65.65138,Ceiba,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,494331,ab-8719164,House
18.451,-66.083,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",55.3,6083,FALSE,0.415,23887475,ab-8719339,House
17.9750813163125,-65.93552418449667,Patillas,"Guayama, PR Metro Area",NA,0,FALSE,NA,45768708,ab-8720051,House
18.44962,-66.06571,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",75.75,5378,FALSE,0.477,9317542,ab-8721044,Apartment
18.44857033365503,-66.07202455511583,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,9658190,ab-8721470,Apartment
18.45191909629847,-66.08455163815468,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,45791672,ab-8725187,Apartment
18.08274306407449,-65.7965738250732,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45810305,ab-8730085,Villa
18.42599094641884,-66.05259755887357,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45823810,ab-8733548,Apartment
18.467,-66.115,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",138.7,19002,TRUE,0.646,494331,ab-8736122,Apartment
18.44515772010752,-65.91714789987563,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,494331,ab-8736150,Apartment
18.45305432556148,-66.06752252987478,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,45655271,ab-8737772,Bed &amp; Breakfast
18.45278,-66.06793,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",50,100,TRUE,0.032,27286350,ab-8738837,Hostel
18.32943936813485,-67.24514993319956,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,43095611,ab-8740603,House
18.4762284088202,-66.7513060701341,Arecibo,"Arecibo, PR Metro Area",NA,0,NA,NA,45858566,ab-8741577,Apartment
18.08063699394579,-65.79990778344785,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,13410431,ab-8742253,House
18.38532884551937,-65.76437109554874,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,2210419,ab-8749339,Entire apartment
18.45558640614435,-66.06396121482531,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,45893429,ab-8749845,Apartment
18.467701840373,-66.11385438607206,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,10899016,ab-8759950,Apartment
18.32780866344336,-67.24874465882733,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,TRUE,NA,43223616,ab-8761058,Entire apartment
18.39877985555231,-65.76677459974123,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,12624438,ab-8763402,Apartment
17.97500324970082,-65.93471862968734,Patillas,"Guayama, PR Metro Area",NA,0,FALSE,NA,5144239,ab-8774296,Apartment
18.43215,-65.87773,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",180.87,28577,FALSE,0.505,46010272,ab-8777261,Apartment
18.39087208159709,-65.75824739857552,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,46021934,ab-8779844,Apartment
18.39152,-65.7587,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",376.41,70388,FALSE,0.55,46021934,ab-8780023,Apartment
18.45412276551,-67.15751805102349,Aguadilla,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,46024845,ab-8780444,Apartment
18.40161885176881,-65.95080012991623,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,32753903,ab-8780619,Apartment
18.38837690828971,-65.77155498214009,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,46015837,ab-8781685,Apartment
18.45596292097994,-66.07296639940179,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,27495915,ab-8782266,House
18.45605,-66.06405,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",104.22,9484,FALSE,0.46,358161,ab-8789107,Apartment
18.45696,-66.07351,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",107.19,7718,FALSE,0.615,358161,ab-8790149,Apartment
18.32308,-67.2083,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,34448400,ab-8790944,Apartment
18.42385554445564,-65.98706418593183,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,46072980,ab-8791383,Apartment
18.32037,-67.22373,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,34448400,ab-8791572,Apartment
18.32548,-67.20679,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,34448400,ab-8791907,Apartment
18.45185,-66.05674,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",47.98,6525,TRUE,0.504,7138397,ab-8793990,Apartment
18.32057402593964,-67.2422094907492,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,46098386,ab-8796929,Apartment
17.9772,-66.69695,Ponce,"Ponce, PR Metro Area",133.09,6255,FALSE,0.364,46102116,ab-8797807,Chalet
18.30136,-67.23561,Rincon,"Aguadilla-Isabela, PR Metro Area",NA,0,FALSE,NA,27071526,ab-8804030,House
18.37724,-65.71559,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",69.33,16571,TRUE,0.658,12252202,ab-8804848,Bed and breakfast
18.47149797695625,-66.737781635265,Arecibo,"Arecibo, PR Metro Area",NA,0,FALSE,NA,27667825,ab-8805564,House
18.332,-67.253,Rincon,"Aguadilla-Isabela, PR Metro Area",575.58,115117,FALSE,0.631,922881,ab-8805714,Villa
18.47791,-66.27211,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",365.91,20125,TRUE,0.297,9603117,ab-8811916,Townhouse
18.24416793666263,-67.00881677165937,Las Marias,NA,NA,0,FALSE,NA,46167799,ab-8813173,Cabin
18.30396911583458,-65.30611268768551,Culebra,NA,NA,0,FALSE,NA,42143148,ab-8813360,Villa
18.45168,-66.05585,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",94.94,16330,TRUE,0.506,46161472,ab-8815519,Apartment
18.46197857033511,-66.26564080082416,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,9603117,ab-8816469,Entire house
18.45833220787711,-66.2666829733402,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,9603117,ab-8816735,Entire house
18.46058522093195,-66.26781426893794,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,9603117,ab-8816791,Entire house
18.46074,-66.26702,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",442.74,13725,TRUE,0.167,9603117,ab-8816842,House
18.47798,-66.32246,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",321.96,16420,TRUE,0.285,9603117,ab-8817026,Townhouse
18.30338571773576,-65.30471414229186,Culebra,NA,NA,0,FALSE,NA,42143148,ab-8821881,Apartment
18.44181,-66.02089,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",137.07,22617,TRUE,0.632,13081431,ab-8822476,Apartment
18.46712504644596,-66.11925159582832,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,16470357,ab-8823126,House
18.316,-65.302,Culebra,NA,133.05,31399,FALSE,0.837,46224779,ab-8824908,House
18.45621276884783,-66.0705000580689,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,23221530,ab-8825853,Apartment
18.4541,-66.06486,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",138,552,FALSE,0.066,45893798,ab-8829558,Apartment
18.45719041897088,-66.08488759556657,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,29926936,ab-8830901,Apartment
18.08003261348697,-67.04411551844909,San German,"San Germán, PR Metro Area",NA,0,FALSE,NA,46288582,ab-8838543,Bed and breakfast
18.42301031184002,-66.05145351852372,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,35936946,ab-8839542,Apartment
18.42449578809467,-66.05148636891776,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,35936946,ab-8839556,Apartment
18.45575,-66.06495,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",284.88,11395,TRUE,0.488,39196374,ab-8845402,Condominium
18.33154,-67.25161,Rincon,"Aguadilla-Isabela, PR Metro Area",99.01,10297,TRUE,0.335,28821969,ab-8853978,Apartment
18.45143839633281,-66.08340580527482,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,NA,NA,46368834,ab-8856694,Apartment
17.97464434893091,-67.04905428490822,Lajas,"San Germán, PR Metro Area",NA,0,FALSE,NA,46375438,ab-8858493,Private room
18.04,-67.174,Cabo Rojo,"San Germán, PR Metro Area",NA,0,FALSE,NA,24008252,ab-8862858,Apartment
17.97938733739074,-67.20734707340834,Boqueron,"San Germán, PR Metro Area",NA,0,FALSE,NA,24008252,ab-8862860,Cabin
